 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99
hi 0.04137612 0.05517898 0.028412847 0.023052325 -0.023842696 0.0064527025 0.017218059 0.0053317565 -0.035766684 -0.037011042 -0.03849746 0.02181856 0.011214161 0.004816671 0.0043706596 0.017436247 -0.022741904 0.01629872 0.03261627 0.05600338 0.013628705 -0.044344448 -0.004922154 0.033661917 0.03264413 0.014254883 0.028768348 0.0020781006 0.053201444 -0.012321198 0.040508915 0.01679021 -0.016969725 -0.01852532 -0.0197346 -0.013894354 0.0015345702 0.045454573 -0.053295307 0.026619531 -0.030837767 -0.032290947 0.00522445 0.0073545747 -0.0063638035 0.0059171095 0.0006131342 -0.0048522847 0.001302512 0.00018120128 -0.005110075 -0.06203131 0.013269922 -0.00021874014 -0.07609528 0.009284978 -0.0018253791 0.020859169 0.041072242 0.023507264 -0.04431219 0.005557895 -0.047311105 -0.004330214 0.03675385 -0.010941745 -0.01520654 0.056547932 -0.0024322167 -0.029564725 0.029309047 0.023667978 -0.0065849847 0.008963315 -0.050036415 -0.04713858 -0.009026206 0.00797541 0.04030517 0.005047374 -0.06776587 0.035083093 0.050894856 -0.03496533 -0.03536083 -0.022857249 -0.024300698 0.03721011 0.0073487693 -0.06979315 -0.023642315 0.023034582 0.003314193 -0.08009857 -0.08924944 0.020188086 -0.0015445789 0.0151671665 -0.007849573 0.059967425
what 0.358229 0.43731096 0.19664103 0.16788594 -0.15485913 0.029761236 0.13095552 0.070134185 -0.30191496 -0.31974342 -0.31381077 0.1410932 0.047377814 -0.0022367572 0.075160414 0.1372208 -0.20463593 0.1304221 0.24540031 0.40404925 0.10627547 -0.33056194 -0.052368604 0.2623199 0.21601446 0.120443 0.216709 0.030032009 0.38228324 -0.06971497 0.28557524 0.10966638 -0.12385714 -0.13533303 -0.123064 -0.07480097 0.024159547 0.33692065 -0.4227791 0.17729796 -0.27426597 -0.21741073 0.07667791 0.026122794 -0.062649496 0.0109170545 0.0038182156 -0.016930858 0.01489154 0.011172949 -0.057240777 -0.48700154 0.12379915 0.008641152 -0.56785434 0.06498905 -0.02229124 0.14943114 0.32048383 0.18833317 -0.35992035 0.018579733 -0.33945876 0.0036429164 0.2639333 -0.08070136 -0.11803974 0.4078947 -0.020134803 -0.25624216 0.19661589 0.17748961 -0.08141559 0.035596132 -0.35673097 -0.35743842 -0.094704956 0.09861888 0.34794453 0.050115418 -0.49650592 0.30595118 0.42937082 -0.23710196 -0.30805486 -0.19912079 -0.19721 0.27996278 0.091741085 -0.51867205 -0.16854186 0.20364636 0.018843213 -0.6542766 -0.68775994 0.13165045 0.0103453165 0.14260557 -0.055199634 0.4804139
is 0.5282199 0.6629475 0.29315916 0.2520636 -0.22773542 0.044012863 0.19861583 0.111783385 -0.43979812 -0.49097097 -0.46807072 0.2161858 0.07209436 0.0075317393 0.10761964 0.19797531 -0.30842212 0.19527084 0.38067085 0.59925747 0.16623491 -0.49878398 -0.07766088 0.3913398 0.32310694 0.18995123 0.32949767 0.03478164 0.56470376 -0.10868225 0.43861303 0.15918402 -0.19608277 -0.21423565 -0.18499109 -0.1125848 0.041210093 0.50213367 -0.6318904 0.26759022 -0.39954785 -0.32375032 0.11886463 0.043610595 -0.08547355 0.004861578 0.010766867 -0.030362563 0.033070754 0.0064840456 -0.08813635 -0.74022895 0.17393443 0.022869634 -0.84834206 0.08846941 -0.040022843 0.22502372 0.4802594 0.28108698 -0.54417473 0.033125687 -0.5001613 0.0025178224 0.390812 -0.11812669 -0.18920445 0.61581415 -0.01957984 -0.38438454 0.29656097 0.25662524 -0.11943319 0.047987875 -0.53832215 -0.5362163 -0.14380734 0.14864117 0.5124402 0.078394234 -0.74496865 0.46834224 0.63818777 -0.3573777 -0.4614142 -0.2956332 -0.30045393 0.4266533 0.12953 -0.7656528 -0.2535249 0.29836658 0.027560787 -0.97234225 -1.0331289 0.20523763 0.00855394 0.21923874 -0.09176744 0.71546865
your 0.40531364 0.5132058 0.22483106 0.18939635 -0.18073477 0.026123645 0.15681925 0.08459827 -0.34675568 -0.38020116 -0.3627092 0.16693814 0.05699261 0.004948209 0.079838514 0.15715843 -0.24142274 0.14870979 0.29406452 0.4643505 0.121532805 -0.3828123 -0.053709053 0.30260438 0.25604942 0.15143558 0.25360006 0.025612636 0.43949038 -0.08819457 0.33580938 0.12595838 -0.15021919 -0.15790801 -0.14550284 -0.08960752 0.022947587 0.38975284 -0.4894329 0.20448102 -0.3082025 -0.24762487 0.08911099 0.035181273 -0.067522146 0.009537346 0.0010892374 -0.02338233 0.026751796 0.006065789 -0.07489651 -0.5738422 0.13854906 0.018118437 -0.6586166 0.07152386 -0.02243922 0.17843695 0.37764782 0.2171331 -0.42232946 0.02302389 -0.38266346 0.0021567927 0.3025357 -0.09232002 -0.1434931 0.47082284 -0.014762726 -0.29176524 0.22451232 0.20017561 -0.09668456 0.040480465 -0.40827608 -0.41706067 -0.11241408 0.1164864 0.40448892 0.057616003 -0.5723794 0.35933846 0.48879442 -0.28184178 -0.35834777 -0.2231566 -0.2317344 0.3324572 0.106938176 -0.5928437 -0.20600459 0.2376246 0.023217326 -0.7607274 -0.80140865 0.15949939 0.012382509 0.1656744 -0.07031129 0.55690825
favorite 0.1684716 0.21365458 0.09099628 0.08521148 -0.07031179 0.013988756 0.061313264 0.035436776 -0.13895637 -0.16080657 -0.14581832 0.06643734 0.0241913 0.0051742 0.039617274 0.06118097 -0.1000912 0.064762905 0.117898315 0.19907343 0.049581967 -0.16536298 -0.028480941 0.12808286 0.10687771 0.06543897 0.10458917 0.013179467 0.18498991 -0.03479449 0.13522258 0.050431527 -0.06535289 -0.06403081 -0.057517137 -0.035429485 0.008630182 0.16633472 -0.20759204 0.08505945 -0.13117915 -0.10441803 0.032878872 0.01675354 -0.032398056 0.0014696135 0.0069951448 -0.006466694 0.0108541455 0.0037894882 -0.026543733 -0.23806341 0.055697437 0.0026715994 -0.27331048 0.03331336 -0.008332108 0.07226058 0.15402617 0.09097403 -0.1781607 0.0105076125 -0.15991512 -0.0028924637 0.12598002 -0.040534724 -0.0611112 0.19437462 -0.0037370159 -0.1264833 0.099002205 0.08753159 -0.041247863 0.02140893 -0.17673717 -0.1771561 -0.047435667 0.045412615 0.16569525 0.029950874 -0.2415042 0.14915657 0.20874624 -0.118164316 -0.14787908 -0.09757173 -0.092404485 0.13884461 0.041310105 -0.24525197 -0.08256615 0.102063015 0.008019253 -0.3201843 -0.33654156 0.061578277 0.00022062995 0.06777733 -0.030995928 0.22937183
holiday 0.044983953 0.047960956 0.018764276 0.017522324 -0.020427642 0.0029538183 0.015528783 0.012210018 -0.037340257 -0.035052277 -0.036189187 0.015549063 0.0011006151 0.0040005245 0.0057288166 0.017655697 -0.02684708 0.011970225 0.031844396 0.048288003 0.010591578 -0.040301885 -0.010621301 0.03574982 0.021019077 0.016916346 0.0285359 0.004233243 0.045460656 -0.013541298 0.037329663 0.0075678374 -0.0132213095 -0.017226266 -0.010212873 -0.013725585 0.0002547628 0.04142307 -0.051201098 0.023270836 -0.02991494 -0.029977752 0.010127394 0.006793418 -0.008558667 0.002658074 0.0016900987 -0.004140837 0.001269923 0.0016924061 -0.005568788 -0.05457375 0.016636295 -0.0024146517 -0.06830011 0.009062022 -0.003682597 0.01875878 0.042196024 0.025937507 -0.045198187 -0.0011796758 -0.038676806 0.00024136911 0.034435242 -0.008969237 -0.017704267 0.051907398 0.0019046186 -0.027099572 0.024259375 0.025035758 -0.0103714345 0.0019039391 -0.044998217 -0.04607121 -0.009582775 0.016418304 0.044014405 0.006885927 -0.05902648 0.03549628 0.054700315 -0.023782838 -0.036017198 -0.025235755 -0.020731322 0.034610987 0.014308139 -0.063928306 -0.01794444 0.020862041 -0.002462276 -0.07558509 -0.086486116 0.012097314 0.005013791 0.013543608 -0.011219439 0.053579178
one 0.3452008 0.42839554 0.18459602 0.16075157 -0.14704756 0.02926199 0.12922497 0.074018605 -0.28882658 -0.31287855 -0.29560408 0.13816406 0.0454969 0.0070103197 0.06347612 0.123898186 -0.19671378 0.1299701 0.24463634 0.38399184 0.10209496 -0.3228265 -0.044928093 0.25686136 0.20616005 0.11986356 0.21092798 0.029399898 0.36407575 -0.066892564 0.28037885 0.10363741 -0.120967366 -0.13198425 -0.123500146 -0.070632294 0.021015314 0.32366785 -0.40676177 0.16946413 -0.26304343 -0.2061621 0.073419675 0.024618343 -0.05271722 0.0030257876 0.0021275107 -0.018720746 0.017362915 0.011079968 -0.054210123 -0.47079974 0.10940148 0.012718983 -0.5384439 0.054697253 -0.025632467 0.13882667 0.30987558 0.18254232 -0.34798905 0.014605746 -0.3234828 0.0019622198 0.25443456 -0.07796593 -0.11436563 0.39016795 -0.020944433 -0.24670304 0.1897097 0.16532877 -0.07243716 0.03641082 -0.34742284 -0.3442022 -0.09113392 0.092759654 0.33659282 0.054431584 -0.479723 0.2957306 0.40594918 -0.22835739 -0.2963772 -0.18698592 -0.19595706 0.2656291 0.08982378 -0.4929138 -0.1674473 0.19198881 0.020991402 -0.6231723 -0.6654915 0.12926775 0.006515657 0.14057171 -0.053745393 0.4638573
where 0.17449136 0.2195794 0.09442452 0.08742992 -0.079427324 0.017512448 0.066595495 0.033893764 -0.15311165 -0.15855667 -0.15885262 0.07290057 0.022646982 -0.001022568 0.03786967 0.065334775 -0.10375208 0.06626997 0.12948662 0.20204979 0.05882138 -0.16762923 -0.02251207 0.13516055 0.1113271 0.06683077 0.1073724 0.018146327 0.19266392 -0.032922957 0.14832854 0.0566937 -0.061345182 -0.07178637 -0.06154587 -0.032101545 0.0114917485 0.17156194 -0.20693469 0.09180459 -0.13480787 -0.10697866 0.043440305 0.019362133 -0.029413303 0.0027154465 0.006405959 -0.009829878 0.013147361 0.006765807 -0.033526152 -0.24731626 0.063835114 0.008049316 -0.2834417 0.034415863 -0.010553008 0.07545018 0.16343829 0.09389783 -0.18644004 0.0133569995 -0.16786528 8.640938e-05 0.13355105 -0.04152117 -0.05964482 0.21139859 -0.0046297098 -0.12384509 0.09842812 0.08830111 -0.04018388 0.01889011 -0.17749852 -0.18207774 -0.05362795 0.04540809 0.17197593 0.02234677 -0.25012666 0.15387392 0.21186595 -0.12369483 -0.15575045 -0.10206541 -0.101690516 0.13866833 0.03998769 -0.2569495 -0.090874545 0.10588416 0.013514822 -0.32355696 -0.34165382 0.06684667 0.0016500549 0.070722446 -0.03095644 0.23808242
i 0.68669486 0.86187184 0.37896267 0.32031572 -0.3025549 0.05672961 0.25878862 0.14703327 -0.5749235 -0.6325724 -0.6079633 0.2826667 0.09362468 0.007028122 0.13738714 0.26032507 -0.4038421 0.25836512 0.49301025 0.7818994 0.21640082 -0.65312684 -0.10190388 0.5088359 0.4179295 0.24742179 0.4264236 0.048802413 0.73732334 -0.1433744 0.55884016 0.19802412 -0.25306177 -0.26778895 -0.24751794 -0.1442359 0.054103665 0.6580429 -0.817854 0.34740925 -0.5193597 -0.4101585 0.14949538 0.057841543 -0.12105404 0.011147911 0.008648851 -0.04376802 0.0383127 0.016555805 -0.118768506 -0.9600176 0.23294345 0.030124912 -1.0994972 0.12378644 -0.04194242 0.28464925 0.6263951 0.3745376 -0.7078381 0.04264642 -0.65284836 -0.00070780644 0.5060615 -0.15714777 -0.23904888 0.8001044 -0.036592513 -0.49721187 0.38133863 0.33385295 -0.1561301 0.06129146 -0.6992838 -0.69844174 -0.19224504 0.18764943 0.6655326 0.109281674 -0.9672879 0.60570854 0.82851166 -0.47137034 -0.5972993 -0.38791543 -0.39071026 0.54982686 0.16847585 -0.9982549 -0.33890003 0.3925317 0.039476868 -1.2630199 -1.3325925 0.26934198 0.01448922 0.28407958 -0.1185472 0.9387486
get 0.30586067 0.37917095 0.16437097 0.13980916 -0.13283715 0.024360297 0.10970702 0.06330928 -0.25009823 -0.27944377 -0.2644083 0.122306116 0.04721522 0.0011992715 0.05932393 0.10820584 -0.17679977 0.11225635 0.21884969 0.34444687 0.09479354 -0.2920162 -0.04207367 0.22241485 0.19008723 0.10686503 0.18938628 0.02111078 0.318196 -0.06835956 0.2444374 0.084258065 -0.11078029 -0.11747388 -0.10599543 -0.060478106 0.020710174 0.29476795 -0.35849616 0.15516593 -0.22666267 -0.1850152 0.06959228 0.02905093 -0.050416574 0.009426148 0.007638997 -0.014413209 0.015037586 0.007158816 -0.05727135 -0.42301276 0.096703984 0.01506593 -0.48601416 0.054961085 -0.025307428 0.13226534 0.27367777 0.16449898 -0.31089434 0.011876077 -0.28234538 -0.0041494663 0.22369835 -0.07087791 -0.107411385 0.35409212 -0.015450647 -0.21643831 0.17279953 0.14658944 -0.071805425 0.031805817 -0.30597413 -0.30372426 -0.08012764 0.087130144 0.29880098 0.045993384 -0.42060316 0.2607663 0.36773276 -0.20098567 -0.26682308 -0.16359797 -0.17469104 0.24311785 0.07073481 -0.43635565 -0.1439125 0.1736425 0.010643989 -0.561083 -0.5922671 0.11535988 0.0036571508 0.12877685 -0.047810424 0.41240686
